dataset,design,holdout,model,method,iter,n_train,n_test,auc,acer,apcer,bpcer,acc,dev_eer,train_loss,train_acc
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-reverse-s2,7,12000,24000,0.9905,0.0841,0.1598,0.0084,0.9283,0.0093,0.0002,1.0000
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-freq-s4,8,36000,24000,0.9937,0.1160,0.2286,0.0033,0.9025,0.0029,0.0061,0.9983
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-reverse-s0,8,36000,24000,0.9924,0.1162,0.2291,0.0032,0.9023,0.0027,0.0033,0.9991
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-reverse-s1,8,36000,24000,0.9936,0.1044,0.2042,0.0047,0.9119,0.0036,0.0066,0.9980
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-reverse-s2,8,36000,24000,0.9943,0.0984,0.1905,0.0062,0.9167,0.0034,0.0070,0.9974
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-reverse-s3,1,12000,24000,0.8904,0.1724,0.2420,0.1027,0.8390,0.0719,0.0054,0.9986
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-reverse-s4,1,12000,24000,0.9551,0.1187,0.1825,0.0550,0.8917,0.0316,0.0059,0.9985
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-reverse-s3,2,12000,24000,0.9647,0.1390,0.2461,0.0320,0.8785,0.0233,0.0026,0.9997
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-reverse-s4,2,12000,24000,0.9589,0.1371,0.2493,0.0249,0.8813,0.0160,0.0015,0.9997
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,standard-s0,1,36000,24000,0.9809,0.1143,0.2160,0.0127,0.9023,0.0088,0.0136,0.9952
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-reverse-s3,3,12000,24000,0.9147,0.1911,0.3122,0.0701,0.8287,0.0388,0.0045,0.9986
